thesis_output,condition,metric,reported_value,recomputed_value,match,notes
Crystalite FiLM guidance sweep,fixed_film__g3__t8,mean_prediction,8.436781621144704,8.436781621144704,True,
Crystalite FiLM guidance sweep,fixed_film__g3__t8,median_prediction,7.902400526896768,7.902400526896768,True,
Crystalite FiLM guidance sweep,fixed_film__g3__t8,MAE,2.88576056712035,2.88576056712035,True,
Crystalite FiLM guidance sweep,fixed_film__g3__t12,mean_prediction,12.39466662554557,12.39466662554557,True,
Crystalite FiLM guidance sweep,fixed_film__g3__t12,median_prediction,11.518159775867034,11.518159775867034,True,
Crystalite FiLM guidance sweep,fixed_film__g3__t12,MAE,3.025916023804386,3.025916023804386,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t2,mean_prediction,2.17963275840497,2.17963275840497,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t2,median_prediction,2.039600905937512,2.039600905937512,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t2,MAE,0.6204252407891094,0.6204252407891094,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t4,mean_prediction,3.679421871529016,3.6794218715290157,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t4,median_prediction,3.5008687052892133,3.5008687052892133,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t4,MAE,0.8766170552198034,0.8766170552198034,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t8,mean_prediction,8.634709810216059,8.634709810216059,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t8,median_prediction,8.503703463182463,8.503703463182463,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t8,MAE,3.304269688722166,3.304269688722166,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t12,mean_prediction,14.606597178570194,14.606597178570192,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t12,median_prediction,16.453049704207324,16.453049704207324,True,
Crystalite FiLM guidance sweep,fixed_film__g4__t12,MAE,9.436455383468068,9.436455383468067,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t2,mean_prediction,2.206913009729818,2.206913009729818,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t2,median_prediction,2.159501455842835,2.159501455842835,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t2,MAE,0.7582792246814737,0.7582792246814737,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t4,mean_prediction,1.7075292060177454,1.7075292060177454,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t4,median_prediction,3.3290755911008376,3.3290755911008376,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t4,MAE,2.6307481730512388,2.6307481730512388,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t8,mean_prediction,7.756681771902786,7.756681771902788,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t8,median_prediction,8.012858829339082,8.012858829339082,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t8,MAE,5.150551361119995,5.150551361119995,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t12,mean_prediction,707.683361588947,707.6833615889472,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t12,median_prediction,13.01134329657914,13.01134329657914,True,
Crystalite FiLM guidance sweep,fixed_film__g5__t12,MAE,728.9613504181416,728.9613504181416,True,
Reward-guided MatterGen,baseline_0002,mean_prediction,13.576050686199146,13.576050686199146,True,
Reward-guided MatterGen,baseline_0002,mean_reward,0.37989328297787445,0.37989328336054345,True,
Reward-guided MatterGen,baseline_0002,within_pm2,5.0,5.0,True,
Reward-guided MatterGen,baseline_0008,mean_prediction,12.373429220663565,12.373429220663565,True,
Reward-guided MatterGen,baseline_0008,mean_reward,0.20800280967225718,0.20800280939853452,True,
Reward-guided MatterGen,baseline_0008,within_pm2,2.0,2.0,True,
Reward-guided MatterGen,baseline_0023,mean_prediction,12.578946491636753,12.578946491636753,True,
Reward-guided MatterGen,baseline_0023,mean_reward,0.34456784012701536,0.3445678425852373,True,
Reward-guided MatterGen,baseline_0023,within_pm2,4.0,4.0,True,
Reward-guided MatterGen,baseline_0011,mean_prediction,11.87058640725949,11.87058640725949,True,
Reward-guided MatterGen,baseline_0011,mean_reward,0.21170692238716976,0.2117069247111375,True,
Reward-guided MatterGen,baseline_0011,within_pm2,3.0,3.0,True,
Reward-guided MatterGen,baseline_0016,mean_prediction,13.788265637292886,13.788265637292886,True,
Reward-guided MatterGen,baseline_0016,mean_reward,0.36018655293524,0.36018655486333334,True,
Reward-guided MatterGen,baseline_0016,within_pm2,4.0,4.0,True,
Reward-guided MatterGen,baseline_0005,mean_prediction,11.29921274046617,11.29921274046617,True,
Reward-guided MatterGen,baseline_0005,mean_reward,0.46640964838702587,0.4664096557972375,True,
