relative_path,data_type,workflow,run_id,sample_id_if_applicable,source_label,size_bytes,sha256,notes
data/final_evaluations/reward_guided/baseline/0011/relax_manifest.csv,csv,reward_guided,,,released research data,32735,7b80655eed1163d41ab36e7a52d5b9d3537ca3c25d92cd4c073bec7c51c88311,
data/final_evaluations/reward_guided/baseline/0011/reward_table.csv,csv,reward_guided,,,released research data,15136,8346aebf9faee9263959aa20a1e4052bb421629c667862c37cfc047e267ff9e1,
data/final_evaluations/reward_guided/baseline/0011/topk_records.csv,csv,reward_guided,,,released research data,7758,5c5a4e35b6b75c19d44c83e08b43e6c30b94758d546f199de5f90a7943171f1b,
data/final_evaluations/reward_guided/baseline/0012/basic_validity.csv,csv,reward_guided,,,released research data,23349,8cf90aba362ccfadac9bc6ffb5eada2164d67152089408aac930721f5069c005,
data/final_evaluations/reward_guided/baseline/0012/loop_summary.json,json,reward_guided,,,released research data,4759,6bc29c49ff8522a38ce7410a026e9e8309e3cf5a8af92f39d80be7b8c43b2d0e,
data/final_evaluations/reward_guided/baseline/0012/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,8036,13e80f2b632731438ad50d0d8997a6e12f981d79ba4a0dfdaee9d2898f53a54c,
data/final_evaluations/reward_guided/baseline/0012/relax_manifest.csv,csv,reward_guided,,,released research data,29370,ccd0ece8870906b82f5ad07180273b7f71768dfb892420acef79f9ddfffe29cc,
data/final_evaluations/reward_guided/baseline/0012/reward_table.csv,csv,reward_guided,,,released research data,12357,b7104126fa101a7edc402a2161588a930694dddd13afddff012e5db5db00e274,
data/final_evaluations/reward_guided/baseline/0012/topk_records.csv,csv,reward_guided,,,released research data,7774,2315ec155875b53765e5c862278b7dda559b8cc3d4f2255a0f37480c29447058,
data/final_evaluations/reward_guided/baseline/0013/basic_validity.csv,csv,reward_guided,,,released research data,23351,fcb59f19c036c0d7aa0d353fda018d6401eb6f8352b4751053068fccdd932936,
data/final_evaluations/reward_guided/baseline/0013/loop_summary.json,json,reward_guided,,,released research data,4757,a3649e429cd419fc79f1243727462b979a38fbb40df785891c08508d8b8ded87,
data/final_evaluations/reward_guided/baseline/0013/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,7490,7e9351f76c8d2aecf492ab40a38e8129e4e863710c8a5f628beecf83d8a2196f,
data/final_evaluations/reward_guided/baseline/0013/relax_manifest.csv,csv,reward_guided,,,released research data,32884,73981f5267fb30bcecc1baa44c78f0e5b2d381dc2cd21782a3924e7d45719733,
data/final_evaluations/reward_guided/baseline/0013/reward_table.csv,csv,reward_guided,,,released research data,11444,3da68e5042b404f6f9b69f08801f7cb7c5958737a6449fa040c97e7e231e996a,
data/final_evaluations/reward_guided/baseline/0013/topk_records.csv,csv,reward_guided,,,released research data,7803,add760406e43f14864e67285e3a48edd4ceef039be4ddaab9b2012eb3401c511,
data/final_evaluations/reward_guided/baseline/0014/basic_validity.csv,csv,reward_guided,,,released research data,23291,724084e488b499a9f8bb87dee4506501088fe2fce1247a560e9b0182961001fd,
data/final_evaluations/reward_guided/baseline/0014/loop_summary.json,json,reward_guided,,,released research data,4756,a2f8bf238ade473c7f5bcb9caafb140b3abfc5e258c6e5c49dbc7edd6bc622aa,
data/final_evaluations/reward_guided/baseline/0014/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,8647,32f313fc0f15728dbca925b421617c0e745a94e27045fa93657d0d02b9a6e6ca,
data/final_evaluations/reward_guided/baseline/0014/relax_manifest.csv,csv,reward_guided,,,released research data,30485,487942f004fdeb67cd688e4f50a3bfdb45cfa87eff2b0fb1be6acfe813b18cdc,
data/final_evaluations/reward_guided/baseline/0014/reward_table.csv,csv,reward_guided,,,released research data,13239,9b9c85b2c9834b59671b9b852e1e1b07e452adb785d805e8c87f485baa979d31,
data/final_evaluations/reward_guided/baseline/0014/topk_records.csv,csv,reward_guided,,,released research data,7770,93f271465586979b0ecad71100c6a5c7970144d85414196882c9fe124409de36,
data/final_evaluations/reward_guided/baseline/0015/basic_validity.csv,csv,reward_guided,,,released research data,23165,b78bb79783f0e9a9fccdda61a3976e8a1b8d7111db346391db65377bb986be0d,
data/final_evaluations/reward_guided/baseline/0015/loop_summary.json,json,reward_guided,,,released research data,4754,9efb768a172d80f6a8cd46e5acb59364531ca3b81d978da96375631d3d865391,
data/final_evaluations/reward_guided/baseline/0015/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,9843,055a0307023c5d57f020c6c806e94ec8c661e8b6a01923450f5ff87b8ed8163e,
data/final_evaluations/reward_guided/baseline/0015/relax_manifest.csv,csv,reward_guided,,,released research data,34465,da82d98c38c1505cd265ae3f274089229b3b50865b1a17e10639d5cb0a539cf7,
data/final_evaluations/reward_guided/baseline/0015/reward_table.csv,csv,reward_guided,,,released research data,15129,3e2abc8bd38251e55766f66f6d7cdc29835ba30d09dd27c00c4fd86ae8c2270d,
data/final_evaluations/reward_guided/baseline/0015/topk_records.csv,csv,reward_guided,,,released research data,7779,7caaaea6389236c88876b0b39a73682eff20c568911c7b12502dac1919d1f170,
data/final_evaluations/reward_guided/baseline/0016/basic_validity.csv,csv,reward_guided,,,released research data,23230,87d820611b3ff7284596e75cc1a56631fd28b9a0009e13cebb5c62aacfaa4a77,
data/final_evaluations/reward_guided/baseline/0016/loop_summary.json,json,reward_guided,,,released research data,4758,3b11326ba02469534ce684df1fa7058fee51210cdfe9af0b638778b7ed782e4b,
data/final_evaluations/reward_guided/baseline/0016/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,9262,f57c7e7a85104daf1031851ddb2c4d9d8ca6ba2d999ca83e287e020d703da715,
data/final_evaluations/reward_guided/baseline/0016/relax_manifest.csv,csv,reward_guided,,,released research data,32759,e55f4e7fa97fdeb62f34b5b788a0baff60b0cb8acf4cd11715a7b839b03d4fdb,
data/final_evaluations/reward_guided/baseline/0016/reward_table.csv,csv,reward_guided,,,released research data,14205,f40b4481dcd55393c148c99f2bedb9aaf335098a517b62559f6401195cf3dc11,
data/final_evaluations/reward_guided/baseline/0016/topk_records.csv,csv,reward_guided,,,released research data,7808,8e7e04ae87fda89cac5c64e318aeff45fb4eafcd67262bc9d6cbb7a2a9eae2fa,
