guidance_factor,condition,subset,family_type,rank,family_label,count,fraction,representative_formula,representative_space_group,mean_predicted_dielectric_scalar,mean_energy_above_hull_per_atom,stable_fraction_within_family,sun_fraction_within_family
0,2,sun_positive,anonymized_formula,5,A,1,0.03571428571428571,Br,P-1,4.440091947823958,0.0516718482310385,1.0,1.0
0,2,sun_positive,anonymized_formula,6,A2B3,1,0.03571428571428571,Cs3P2,Immm,4.380016021602139,0.0006306669462725,1.0,1.0
0,2,sun_positive,anonymized_formula,7,AB3C6,1,0.03571428571428571,Cs3WF6,Fm-3m,2.298716843026209,0.0668834276213443,1.0,1.0
0,2,sun_positive,anonymized_formula,8,AB2C12,1,0.03571428571428571,Sb2PbF12,Cm,2.288073812561496,0.0104801340512681,1.0,1.0
0,2,sun_positive,anonymized_formula,9,AB2C4D6,1,0.03571428571428571,Ca6Co(CF2)2,P1,4.678983576637063,0.0695213218645802,1.0,1.0
0,2,sun_positive,anonymized_formula,10,A3B4C13,1,0.03571428571428571,Sb4O3F13,P1,2.605919867020731,0.0999390843828011,1.0,1.0
0,2,sun_positive,structure_family,1,SF000,1,0.03571428571428571,Li2Dy2As2O,I4/mmm,9.19040741899176,0.0722210226666497,1.0,1.0
0,2,sun_positive,structure_family,2,SF001,1,0.03571428571428571,ErCoCl,R-3m,8.015147074861789,0.0346400052260094,1.0,1.0
0,2,sun_positive,structure_family,3,SF002,1,0.03571428571428571,Br,P-1,4.440091947823958,0.0516718482310385,1.0,1.0
0,2,sun_positive,structure_family,4,SF003,1,0.03571428571428571,Cs3P2,Immm,4.380016021602139,0.0006306669462725,1.0,1.0
0,2,sun_positive,structure_family,5,SF004,1,0.03571428571428571,Cs3WF6,Fm-3m,2.298716843026209,0.0668834276213443,1.0,1.0
0,2,sun_positive,structure_family,6,SF005,1,0.03571428571428571,Sb2PbF12,Cm,2.288073812561496,0.0104801340512681,1.0,1.0
0,2,sun_positive,structure_family,7,SF006,1,0.03571428571428571,Ca6Co(CF2)2,P1,4.678983576637063,0.0695213218645802,1.0,1.0
0,2,sun_positive,structure_family,8,SF007,1,0.03571428571428571,BaNaSb2,P4/mmm,12.7134705834445,0.0960204483083373,1.0,1.0
0,2,sun_positive,structure_family,9,SF008,1,0.03571428571428571,CuTe2Pd,Amm2,16.817764963808838,0.0662424209993703,1.0,1.0
0,2,sun_positive,structure_family,10,SF009,1,0.03571428571428571,Sb4O3F13,P1,2.605919867020731,0.0999390843828011,1.0,1.0
0,2,sun_positive,space_group,1,P1,5,0.17857142857142858,Ca6Co(CF2)2,P1,4.722269306000923,0.0717144502175644,1.0,1.0
0,2,sun_positive,space_group,2,I4/mmm,2,0.07142857142857142,Li2Dy2As2O,I4/mmm,5.925491640637705,0.07734781334106315,1.0,1.0
0,2,sun_positive,space_group,3,Cm,2,0.07142857142857142,NaHO,Cm,2.2809289146963483,0.0296634189338789,1.0,1.0
0,2,sun_positive,space_group,4,Amm2,2,0.07142857142857142,CuTe2Pd,Amm2,9.700667819424245,0.0727020990205464,1.0,1.0
0,2,sun_positive,space_group,5,Imma,2,0.07142857142857142,Cs3AuO,Imma,6.447519196325606,0.0577424803231716,1.0,1.0
0,2,sun_positive,space_group,6,Cmcm,2,0.07142857142857142,KBrF,Cmcm,2.745704001804503,0.05040957501427625,1.0,1.0
