guidance_factor,condition,subset,family_type,n_generated_group,n_subset,n_stable_in_subset,n_unique_in_subset,n_novel_in_subset,n_sun_in_subset,n_families,largest_family_fraction,top5_cumulative_fraction,shannon_entropy,effective_num_families,hhi,mean_family_size,median_family_size,frac_in_families_ge_5,boot_largest_family_fraction_lo,boot_largest_family_fraction_hi,boot_effective_num_families_lo,boot_effective_num_families_hi,boot_hhi_lo,boot_hhi_hi
2,12,all_relaxed,space_group,128,128,54,128,96,29,38,0.1015625,0.453125,3.1800682787507792,24.048395490411437,0.05712890625,3.3684210526315788,2.0,0.6484375,,,,,,
2,12,sun_positive,chemical_system,128,29,29,29,29,29,29,0.034482758620689655,0.1724137931034483,3.367295829986473,28.999999999999964,0.03448275862068965,1.0,1.0,0.0,0.06896551724137931,0.1724137931034483,13.171756323361565,20.381548652084312,0.053507728894173594,0.08917954815695599
2,12,sun_positive,reduced_formula,128,29,29,29,29,29,29,0.034482758620689655,0.1724137931034483,3.367295829986473,28.999999999999964,0.03448275862068965,1.0,1.0,0.0,,,,,,
2,12,sun_positive,anonymized_formula,128,29,29,29,29,29,23,0.13793103448275862,0.3793103448275862,3.014630013724273,20.381548652084312,0.058263971462544584,1.2608695652173914,1.0,0.0,,,,,,
2,12,sun_positive,structure_family,128,29,29,29,29,29,29,0.034482758620689655,0.1724137931034483,3.367295829986473,28.999999999999964,0.03448275862068965,1.0,1.0,0.0,0.06896551724137931,0.1724137931034483,13.171756323361565,20.381548652084312,0.053507728894173594,0.08917954815695599
2,12,sun_positive,space_group,128,29,29,29,29,29,16,0.2413793103448276,0.5862068965517242,2.5268845245121456,12.514456856135935,0.10582639714625447,1.8125,1.0,0.2413793103448276,,,,,,
5,2,all_relaxed,chemical_system,128,128,84,118,104,60,61,0.1171875,0.421875,3.606254467168839,36.82785422560853,0.047607421875,2.098360655737705,1.0,0.421875,0.1015625,0.1796875,22.95816778387364,34.49991403947781,0.0411346435546875,0.0717803955078125
5,2,all_relaxed,reduced_formula,128,128,84,118,104,60,91,0.1171875,0.3203125,4.096803290597617,60.14770521161772,0.0341796875,1.4065934065934067,1.0,0.28125,,,,,,
5,2,all_relaxed,anonymized_formula,128,128,84,118,104,60,42,0.21875,0.5078125,3.1375724921798422,23.047850059363956,0.078369140625,3.0476190476190474,1.0,0.5078125,,,,,,
5,2,all_relaxed,structure_family,128,128,84,118,104,60,123,0.0234375,0.078125,4.789702388192049,120.265570882574,0.0086669921875,1.0406504065040652,1.0,0.0,0.0234375,0.0625,62.36618423915014,76.61068419047001,0.0145263671875,0.01904296875
5,2,all_relaxed,space_group,128,128,84,118,104,60,40,0.3984375,0.6171875,2.6651561626342586,14.370193458049796,0.178466796875,3.2,1.0,0.5859375,,,,,,
5,2,sun_positive,chemical_system,128,60,60,60,60,60,30,0.16666666666666666,0.49999999999999994,3.049073925054489,21.095799082726675,0.06833333333333334,2.0,1.0,0.36666666666666664,0.11666666666666667,0.26666666666666666,12.577688238218721,20.1858391952948,0.06109722222222222,0.11888888888888888
5,2,sun_positive,reduced_formula,128,60,60,60,60,60,43,0.16666666666666666,0.36666666666666664,3.46659932515344,32.02764144672311,0.050555555555555555,1.3953488372093024,1.0,0.25,,,,,,
5,2,sun_positive,anonymized_formula,128,60,60,60,60,60,25,0.25,0.5166666666666667,2.8119098625287147,16.641671191452332,0.09722222222222222,2.4,2.0,0.36666666666666664,,,,,,
5,2,sun_positive,structure_family,128,60,60,60,60,60,60,0.016666666666666666,0.08333333333333333,4.0943445622220995,59.99999999999993,0.016666666666666663,1.0,1.0,0.0,0.05,0.08333333333333333,29.355157675718406,39.24152320051589,0.027777777777777776,0.03944444444444445
5,2,sun_positive,space_group,128,60,60,60,60,60,15,0.5666666666666667,0.8333333333333334,1.6887211094763184,5.412554212670981,0.34666666666666657,4.0,1.0,0.7666666666666667,,,,,,
5,4,all_relaxed,chemical_system,128,128,37,126,99,19,125,0.015625,0.0625,4.819538989830868,123.90795478350658,0.0081787109375,1.024,1.0,0.0,0.0234375,0.046875,64.02663905185794,78.39771215561139,0.01416015625,0.0181884765625
5,4,all_relaxed,reduced_formula,128,128,37,126,99,19,127,0.015625,0.046875,4.841199839223365,126.62118568882849,0.0079345703125,1.0078740157480315,1.0,0.0,,,,,,
5,4,all_relaxed,anonymized_formula,128,128,37,126,99,19,60,0.125,0.3203125,3.743833034114756,42.259662847973395,0.0364990234375,2.1333333333333333,1.0,0.3203125,,,,,,
5,4,all_relaxed,structure_family,128,128,37,126,99,19,127,0.015625,0.046875,4.841199839223365,126.62118568882849,0.0079345703125,1.0078740157480315,1.0,0.0,0.0234375,0.046875,64.85515803993802,79.25424889009753,0.013916015625,0.017822265625
5,4,all_relaxed,space_group,128,128,37,126,99,19,43,0.1484375,0.3671875,3.3789619110485893,29.340297460220206,0.0496826171875,2.9767441860465116,2.0,0.53125,,,,,,
5,4,sun_positive,chemical_system,128,19,19,19,19,19,19,0.05263157894736842,0.2631578947368421,2.94443897916644,18.99999999999999,0.05263157894736842,1.0,1.0,0.0,0.10526315789473684,0.2631578947368421,8.43256773714556,13.430238682898377,0.08033240997229917,0.13573407202216065
5,4,sun_positive,reduced_formula,128,19,19,19,19,19,19,0.05263157894736842,0.2631578947368421,2.94443897916644,18.99999999999999,0.05263157894736842,1.0,1.0,0.0,,,,,,
5,4,sun_positive,anonymized_formula,128,19,19,19,19,19,13,0.15789473684210525,0.5789473684210527,2.479122436509393,11.930789796908995,0.09141274238227146,1.4615384615384615,1.0,0.0,,,,,,
5,4,sun_positive,structure_family,128,19,19,19,19,19,19,0.05263157894736842,0.2631578947368421,2.94443897916644,18.99999999999999,0.05263157894736842,1.0,1.0,0.0,0.10526315789473684,0.2631578947368421,8.43256773714556,13.430238682898377,0.08033240997229917,0.13573407202216065
5,4,sun_positive,space_group,128,19,19,19,19,19,14,0.15789473684210525,0.5263157894736842,2.552085297620966,12.833838270706808,0.08587257617728532,1.3571428571428572,1.0,0.0,,,,,,
5,8,all_relaxed,chemical_system,128,128,55,126,95,31,110,0.0390625,0.125,4.62261734889826,101.76002536942727,0.01123046875,1.1636363636363636,1.0,0.0390625,0.03125,0.078125,55.047920008620096,69.78879378944305,0.01611328125,0.022708129882812497
5,8,all_relaxed,reduced_formula,128,128,55,126,95,31,127,0.015625,0.046875,4.841199839223365,126.62118568882849,0.0079345703125,1.0078740157480315,1.0,0.0,,,,,,
5,8,all_relaxed,anonymized_formula,128,128,55,126,95,31,57,0.1015625,0.40625,3.6067569464273794,36.84636410852011,0.043212890625,2.245614035087719,1.0,0.40625,,,,,,
5,8,all_relaxed,structure_family,128,128,55,126,95,31,128,0.0078125,0.0390625,4.852030263919617,127.99999999999997,0.0078125,1.0,1.0,0.0,0.0234375,0.046875,65.46660402331969,79.46207329750038,0.013916015625,0.017581176757812497
5,8,all_relaxed,space_group,128,128,55,126,95,31,39,0.140625,0.4609375,3.1869355966457644,24.2141118292325,0.0604248046875,3.282051282051282,2.0,0.625,,,,,,
5,8,sun_positive,chemical_system,128,31,31,31,31,31,30,0.06451612903225806,0.1935483870967742,3.389268031545795,29.6442456743839,0.03433922996878251,1.0333333333333334,1.0,0.0,0.06451612903225806,0.16129032258064516,13.930568185172026,20.728605365336673,0.05098855359001038,0.08428720083246619
5,8,sun_positive,reduced_formula,128,31,31,31,31,31,31,0.03225806451612903,0.16129032258064516,3.4339872044851463,31.0,0.03225806451612903,1.0,1.0,0.0,,,,,,
5,8,sun_positive,anonymized_formula,128,31,31,31,31,31,23,0.22580645161290322,0.4193548387096774,2.8882708203112264,17.96222282111411,0.08220603537981272,1.3478260869565217,1.0,0.22580645161290322,,,,,,
5,8,sun_positive,structure_family,128,31,31,31,31,31,31,0.03225806451612903,0.16129032258064516,3.4339872044851463,31.0,0.03225806451612903,1.0,1.0,0.0,0.06451612903225806,0.16129032258064516,14.408863244343285,21.31380209599697,0.05098855359001038,0.08012486992715921
5,8,sun_positive,space_group,128,31,31,31,31,31,15,0.3225806451612903,0.6774193548387096,2.2997064913745437,9.971255375814838,0.15088449531737763,2.066666666666667,1.0,0.3225806451612903,,,,,,
